"","strain","ps","condition","name","tech_Cq_mean","tech_Cq_StDev","tech_Cq_StErrMean"
"1","0.5","ilvD","Unkn","0.5",21.6077246364258,0.199681612510293,0.0223250829714894
"2","0.5","icaA","Unkn","0.5",21.0212444507131,0.242246672032995,0.0270840012994437
"3","0.5","cap5A","Unkn","0.5",21.1606295934017,0.290633292428173,0.0324937899196985
"4","5.0","ilvD","Unkn","5.0",17.86484249855,0.163018425819754,0.0182260140858988
"5","5.0","icaA","Unkn","5.0",16.9992959725501,0.0896492583127111,0.010023091785983
"6","5.0","cap5A","Unkn","5.0",16.8397086731178,0.327910166487195,0.0366614711389321
"7","DNA","ilvD","Unkn","DNA",12.9721626070656,0.0546225835655038,0.00610699049795646
"8","DNA","icaA","Unkn","DNA",13.3318996730263,0.187432603314431,0.020955602110541
"9","DNA","cap5A","Unkn","DNA",13.4560855925153,0.0271459759820417,0.00303501238057109
