"","ps","condition","name","bio_Cq_mean","bio_Cq_StDev","bio_Cq_StErrMean","transcripts","transcript_error","Norm1_transcripts","Norm1_foldchange"
"1","ilvD","Unkn","0.5",21.8295086611149,0,0,0.0011410728980804,0,0.0011410728980804,0.0011410728980804
"2","ilvD","Unkn","5.0",18.138552763072,0,0,8.10658943414629e-05,0,8.10658943414629e-05,8.10658943414629e-05
"3","ilvD","Unkn","DNA",15.599831546223,0,0,1.31489625998323e-05,0,1.31489625998323e-05,1.31489625998323e-05
"4","icaA","Unkn","0.5",21.2770744208855,0,0,0.000321808334038733,0,0.000321808334038733,0.000321808334038733
"5","icaA","Unkn","5.0",18.4944547079467,0,0,2.99284644681002e-05,0,2.99284644681002e-05,2.99284644681002e-05
"6","icaA","Unkn","DNA",14.1419733203417,0,0,7.28830053712701e-07,0,7.28830053712701e-07,7.28830053712701e-07
"7","cap5A","Unkn","0.5",24.0860570017185,0,0,0.0022211049515436,0,0.0022211049515436,0.0022211049515436
"8","cap5A","Unkn","5.0",18.060395749576,0,0,2.3083054006219e-05,0,2.3083054006219e-05,2.3083054006219e-05
"9","cap5A","Unkn","DNA",14.2259080755465,0,0,1.26245692650772e-06,0,1.26245692650772e-06,1.26245692650772e-06
"10","brnQ","Unkn","0.5",22.4022610315056,0,0,0.00109394592754234,0,0.00109394592754234,0.00109394592754234
"11","brnQ","Unkn","5.0",18.1315726967306,0,0,3.98247342270973e-05,0,3.98247342270973e-05,3.98247342270973e-05
"12","brnQ","Unkn","DNA",14.06420643553,0,0,1.6975063659717e-06,0,1.6975063659717e-06,1.6975063659717e-06
