"","ps","well","rep_group","Cq","Cq_mean","Cq_StDev","Cq_StErrMean","conc"
"1","ilvD","C2","C",15.9280355418962,15.4480348773143,0.483029089984457,0.0540042940157555,1e+06
"2","ilvD","C3","C",14.9680342127324,15.4480348773143,0.483029089984457,0.0540042940157555,1e+06
"3","ilvD","D1","D",18.3908676507628,18.3215167295055,0.0504818734755209,0.00460834347461076,1e+05
"4","ilvD","D2","D",18.3003915962013,18.3215167295055,0.0504818734755209,0.00460834347461076,1e+05
"5","ilvD","D3","D",18.2732909415524,18.3215167295055,0.0504818734755209,0.00460834347461076,1e+05
"6","ilvD","E1","E",21.388707529908,21.5091400359225,0.187165637324477,0.0170858069254078,10
"7","ilvD","E2","E",21.7724094472811,21.5091400359225,0.187165637324477,0.0170858069254078,10
"8","ilvD","E3","E",21.3663031305783,21.5091400359225,0.187165637324477,0.0170858069254078,10
"9","ilvD","F1","F",24.8285701864519,24.8473660872005,0.0514313006033788,0.00469501391704994,1000
"10","ilvD","F2","F",24.7961856678757,24.8473660872005,0.0514313006033788,0.00469501391704994,1000
"11","ilvD","F3","F",24.9173424072739,24.8473660872005,0.0514313006033788,0.00469501391704994,1000
"12","ilvD","G1","G",28.1314743837216,28.1772852591252,0.078474331617226,0.00716369360198259,100
"13","ilvD","G2","G",28.287290502201,28.1772852591252,0.078474331617226,0.00716369360198259,100
"14","ilvD","G3","G",28.113090891453,28.1772852591252,0.078474331617226,0.00716369360198259,100
"15","ilvD","H1","H",32.2681573436965,32.9107616732923,0.562940486948917,0.051389200539144,10
"16","ilvD","H2","H",33.6341663990866,32.9107616732923,0.562940486948917,0.051389200539144,10
"17","ilvD","H3","H",32.8299612770939,32.9107616732923,0.562940486948917,0.051389200539144,10
"18","icaA","D5","D",20.1807604274722,20.3243340973,0.144479506383728,0.0161532998814816,1e+05
"19","icaA","D6","D",20.4679077671278,20.3243340973,0.144479506383728,0.0161532998814816,1e+05
"20","icaA","E4","E",22.8939698622065,22.3673773943125,0.37505850860171,0.0342380009242337,10
"21","icaA","E5","E",22.1397216684832,22.3673773943125,0.37505850860171,0.0342380009242337,10
"22","icaA","E6","E",22.0684406522479,22.3673773943125,0.37505850860171,0.0342380009242337,10
"23","icaA","F4","F",24.8198223882849,24.9458919991775,0.196160082057887,0.0179068836375281,1000
"24","icaA","F5","F",25.2218047552764,24.9458919991775,0.196160082057887,0.0179068836375281,1000
"25","icaA","F6","F",24.7960488539711,24.9458919991775,0.196160082057887,0.0179068836375281,1000
"26","icaA","G4","G",28.7405768180861,28.3180105055837,0.309346832567989,0.0282393730483769,100
"27","icaA","G5","G",28.1985166983775,28.3180105055837,0.309346832567989,0.0282393730483769,100
"28","icaA","G6","G",28.0149380002874,28.3180105055837,0.309346832567989,0.0282393730483769,100
"29","icaA","H4","H",34.0801670319476,33.5823153127027,0.429381737454425,0.0391970105640916,10
"30","icaA","H5","H",33.0361418198399,33.5823153127027,0.429381737454425,0.0391970105640916,10
"31","icaA","H6","H",33.6306370863206,33.5823153127027,0.429381737454425,0.0391970105640916,10
"32","cap5A","A7","A",12.0786283934286,12.2543402293106,0.176820438904003,0.0197691260600349,1e+08
"33","cap5A","A9","A",12.4300520651926,12.2543402293106,0.176820438904003,0.0197691260600349,1e+08
"34","cap5A","B7","B",13.7519619139492,13.8210725177918,0.133288298095825,0.0121675012530927,1e+07
"35","cap5A","B8","B",14.0067713832916,13.8210725177918,0.133288298095825,0.0121675012530927,1e+07
"36","cap5A","B9","B",13.7044842561347,13.8210725177918,0.133288298095825,0.0121675012530927,1e+07
"37","cap5A","C7","C",15.8152709032306,16.003039954311,0.188953725615403,0.0211256687538942,1e+06
"38","cap5A","C9","C",16.1908090053914,16.003039954311,0.188953725615403,0.0211256687538942,1e+06
"39","cap5A","D7","D",19.394460347258,19.288827539997,0.087278837603682,0.00796743135806113,1e+05
"40","cap5A","D8","D",19.1815826895843,19.288827539997,0.087278837603682,0.00796743135806113,1e+05
"41","cap5A","D9","D",19.2904395831487,19.288827539997,0.087278837603682,0.00796743135806113,1e+05
"42","cap5A","E7","E",22.7768386221048,22.7544414622467,0.0649387816324765,0.00592807259283492,10
"43","cap5A","E8","E",22.6664533622281,22.7544414622467,0.0649387816324765,0.00592807259283492,10
"44","cap5A","E9","E",22.8200324024072,22.7544414622467,0.0649387816324765,0.00592807259283492,10
"45","cap5A","F7","F",26.3124086950952,26.2794664762945,0.0234142353723196,0.0021374174800258,1000
"46","cap5A","F8","F",26.261732646718,26.2794664762945,0.0234142353723196,0.0021374174800258,1000
"47","cap5A","F9","F",26.2642580870703,26.2794664762945,0.0234142353723196,0.0021374174800258,1000
"48","cap5A","G7","G",29.7635935737282,29.7030434246432,0.072637399909017,0.00663085707478205,100
"49","cap5A","G8","G",29.6013639035701,29.7030434246432,0.072637399909017,0.00663085707478205,100
"50","cap5A","G9","G",29.7441727966312,29.7030434246432,0.072637399909017,0.00663085707478205,100
"51","cap5A","H7","H",34.9513179380197,34.1352769278532,0.633075211652434,0.0577915956698993,10
"52","cap5A","H8","H",33.4162510612198,34.1352769278532,0.633075211652434,0.0577915956698993,10
"53","cap5A","H9","H",34.0382617843201,34.1352769278532,0.633075211652434,0.0577915956698993,10
"54","brnQ","A10","A",11.666524511046,11.6065969196309,0.0724136048798782,0.00661042747716258,1e+08
"55","brnQ","A11","A",11.5051729149201,11.6065969196309,0.0724136048798782,0.00661042747716258,1e+08
"56","brnQ","A12","A",11.6480933329265,11.6065969196309,0.0724136048798782,0.00661042747716258,1e+08
"57","brnQ","B10","B",13.0178417289858,13.0359434562983,0.0431698447015051,0.00394084962450154,1e+07
"58","brnQ","B11","B",13.0952576604217,13.0359434562983,0.0431698447015051,0.00394084962450154,1e+07
"59","brnQ","B12","B",12.9947309794875,13.0359434562983,0.0431698447015051,0.00394084962450154,1e+07
"60","brnQ","C10","C",15.440273937336,15.4277296665018,0.0773079881748484,0.00705722149978452,1e+06
"61","brnQ","C11","C",15.3277982446127,15.4277296665018,0.0773079881748484,0.00705722149978452,1e+06
"62","brnQ","C12","C",15.5151168175568,15.4277296665018,0.0773079881748484,0.00705722149978452,1e+06
"63","brnQ","D10","D",18.6946235963696,18.7446631201181,0.100903086102226,0.0092111493966792,1e+05
"64","brnQ","D11","D",18.8848649804924,18.7446631201181,0.100903086102226,0.0092111493966792,1e+05
"65","brnQ","D12","D",18.6545007834922,18.7446631201181,0.100903086102226,0.0092111493966792,1e+05
"66","brnQ","E10","E",22.1309578948756,22.1651412501681,0.0759652059914895,0.00693464281784423,10
"67","brnQ","E11","E",22.0944402257191,22.1651412501681,0.0759652059914895,0.00693464281784423,10
"68","brnQ","E12","E",22.2700256299096,22.1651412501681,0.0759652059914895,0.00693464281784423,10
"69","brnQ","F10","F",25.3266779345031,25.4834506483089,0.144711655954436,0.0132103063833619,1000
"70","brnQ","F11","F",25.4490666016655,25.4834506483089,0.144711655954436,0.0132103063833619,1000
"71","brnQ","F12","F",25.674607408758,25.4834506483089,0.144711655954436,0.0132103063833619,1000
"72","brnQ","G10","G",28.6663188015457,28.7651011756,0.0730768169630238,0.00667097018022071,100
"73","brnQ","G11","G",28.7894901440536,28.7651011756,0.0730768169630238,0.00667097018022071,100
"74","brnQ","G12","G",28.8394945812007,28.7651011756,0.0730768169630238,0.00667097018022071,100
"75","brnQ","H10","H",34.3608074927775,33.5098829024311,0.605199206563475,0.0552468762031739,10
"76","brnQ","H11","H",33.0423932399821,33.5098829024311,0.605199206563475,0.0552468762031739,10
"77","brnQ","H12","H",33.1264479745337,33.5098829024311,0.605199206563475,0.0552468762031739,10
